name,n_p,n_g,s_p,s_g,bolt_name,constr
2 x 3 (90p x 140g) M20 8.8/S (TI),2,3,90,140,M20 8.8/S (TI),"{""n_p"": 2, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 140}"
2 x 4 (70p x 70g) M20 8.8/S (TI),2,4,70,70,M20 8.8/S (TI),"{""n_p"": 2, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 70}"
2 x 4 (70p x 90g) M20 8.8/S (TI),2,4,70,90,M20 8.8/S (TI),"{""n_p"": 2, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 90}"
2 x 4 (70p x 140g) M20 8.8/S (TI),2,4,70,140,M20 8.8/S (TI),"{""n_p"": 2, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 140}"
2 x 4 (80p x 70g) M20 8.8/S (TI),2,4,80,70,M20 8.8/S (TI),"{""n_p"": 2, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 70}"
2 x 4 (80p x 90g) M20 8.8/S (TI),2,4,80,90,M20 8.8/S (TI),"{""n_p"": 2, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 90}"
2 x 4 (80p x 140g) M20 8.8/S (TI),2,4,80,140,M20 8.8/S (TI),"{""n_p"": 2, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 140}"
2 x 4 (90p x 70g) M20 8.8/S (TI),2,4,90,70,M20 8.8/S (TI),"{""n_p"": 2, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 70}"
2 x 4 (90p x 90g) M20 8.8/S (TI),2,4,90,90,M20 8.8/S (TI),"{""n_p"": 2, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 90}"
2 x 4 (90p x 140g) M20 8.8/S (TI),2,4,90,140,M20 8.8/S (TI),"{""n_p"": 2, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 140}"
3 x 1 (70p x 70g) M20 8.8/S (TI),3,1,70,70,M20 8.8/S (TI),"{""n_p"": 3, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 70}"
3 x 1 (70p x 90g) M20 8.8/S (TI),3,1,70,90,M20 8.8/S (TI),"{""n_p"": 3, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 90}"
3 x 1 (70p x 140g) M20 8.8/S (TI),3,1,70,140,M20 8.8/S (TI),"{""n_p"": 3, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 140}"
