name,n_p,n_g,s_p,s_g,bolt_name,constr
3 x 4 (80p x 70g) M20 8.8/S (TI),3,4,80,70,M20 8.8/S (TI),"{""n_p"": 3, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 70}"
3 x 4 (80p x 90g) M20 8.8/S (TI),3,4,80,90,M20 8.8/S (TI),"{""n_p"": 3, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 90}"
3 x 4 (80p x 140g) M20 8.8/S (TI),3,4,80,140,M20 8.8/S (TI),"{""n_p"": 3, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 140}"
3 x 4 (90p x 70g) M20 8.8/S (TI),3,4,90,70,M20 8.8/S (TI),"{""n_p"": 3, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 70}"
3 x 4 (90p x 90g) M20 8.8/S (TI),3,4,90,90,M20 8.8/S (TI),"{""n_p"": 3, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 90}"
3 x 4 (90p x 140g) M20 8.8/S (TI),3,4,90,140,M20 8.8/S (TI),"{""n_p"": 3, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 140}"
4 x 1 (70p x 70g) M20 8.8/S (TI),4,1,70,70,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 70}"
4 x 1 (70p x 90g) M20 8.8/S (TI),4,1,70,90,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 90}"
4 x 1 (70p x 140g) M20 8.8/S (TI),4,1,70,140,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 140}"
4 x 1 (80p x 70g) M20 8.8/S (TI),4,1,80,70,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 70}"
4 x 1 (80p x 90g) M20 8.8/S (TI),4,1,80,90,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 90}"
4 x 1 (80p x 140g) M20 8.8/S (TI),4,1,80,140,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 140}"
4 x 1 (90p x 70g) M20 8.8/S (TI),4,1,90,70,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 70}"
4 x 1 (90p x 90g) M20 8.8/S (TI),4,1,90,90,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 90}"
4 x 1 (90p x 140g) M20 8.8/S (TI),4,1,90,140,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 140}"
4 x 2 (70p x 70g) M20 8.8/S (TI),4,2,70,70,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 70}"
4 x 2 (70p x 90g) M20 8.8/S (TI),4,2,70,90,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 90}"
4 x 2 (70p x 140g) M20 8.8/S (TI),4,2,70,140,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 140}"
4 x 2 (80p x 70g) M20 8.8/S (TI),4,2,80,70,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 70}"
4 x 2 (80p x 90g) M20 8.8/S (TI),4,2,80,90,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 90}"
4 x 2 (80p x 140g) M20 8.8/S (TI),4,2,80,140,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 140}"
4 x 2 (90p x 70g) M20 8.8/S (TI),4,2,90,70,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 70}"
4 x 2 (90p x 90g) M20 8.8/S (TI),4,2,90,90,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 90}"
4 x 2 (90p x 140g) M20 8.8/S (TI),4,2,90,140,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 140}"
4 x 3 (70p x 70g) M20 8.8/S (TI),4,3,70,70,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 70}"
4 x 3 (70p x 90g) M20 8.8/S (TI),4,3,70,90,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 90}"
4 x 3 (70p x 140g) M20 8.8/S (TI),4,3,70,140,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 140}"
4 x 3 (80p x 70g) M20 8.8/S (TI),4,3,80,70,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 70}"
4 x 3 (80p x 90g) M20 8.8/S (TI),4,3,80,90,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 90}"
4 x 3 (80p x 140g) M20 8.8/S (TI),4,3,80,140,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 140}"
4 x 3 (90p x 70g) M20 8.8/S (TI),4,3,90,70,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 70}"
4 x 3 (90p x 90g) M20 8.8/S (TI),4,3,90,90,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 90}"
4 x 3 (90p x 140g) M20 8.8/S (TI),4,3,90,140,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 140}"
4 x 4 (70p x 70g) M20 8.8/S (TI),4,4,70,70,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 70}"
4 x 4 (70p x 90g) M20 8.8/S (TI),4,4,70,90,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 90}"
4 x 4 (70p x 140g) M20 8.8/S (TI),4,4,70,140,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 140}"
4 x 4 (80p x 70g) M20 8.8/S (TI),4,4,80,70,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 70}"
4 x 4 (80p x 90g) M20 8.8/S (TI),4,4,80,90,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 90}"
4 x 4 (80p x 140g) M20 8.8/S (TI),4,4,80,140,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 140}"
4 x 4 (90p x 70g) M20 8.8/S (TI),4,4,90,70,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 70}"
4 x 4 (90p x 90g) M20 8.8/S (TI),4,4,90,90,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 90}"
4 x 4 (90p x 140g) M20 8.8/S (TI),4,4,90,140,M20 8.8/S (TI),"{""n_p"": 4, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 140}"
5 x 1 (70p x 70g) M20 8.8/S (TI),5,1,70,70,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 70}"
5 x 1 (70p x 90g) M20 8.8/S (TI),5,1,70,90,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 90}"
5 x 1 (70p x 140g) M20 8.8/S (TI),5,1,70,140,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 140}"
5 x 1 (80p x 70g) M20 8.8/S (TI),5,1,80,70,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 70}"
5 x 1 (80p x 90g) M20 8.8/S (TI),5,1,80,90,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 90}"
5 x 1 (80p x 140g) M20 8.8/S (TI),5,1,80,140,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 140}"
5 x 1 (90p x 70g) M20 8.8/S (TI),5,1,90,70,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 70}"
5 x 1 (90p x 90g) M20 8.8/S (TI),5,1,90,90,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 90}"
5 x 1 (90p x 140g) M20 8.8/S (TI),5,1,90,140,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 140}"
5 x 2 (70p x 70g) M20 8.8/S (TI),5,2,70,70,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 70}"
5 x 2 (70p x 90g) M20 8.8/S (TI),5,2,70,90,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 90}"
5 x 2 (70p x 140g) M20 8.8/S (TI),5,2,70,140,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 140}"
5 x 2 (80p x 70g) M20 8.8/S (TI),5,2,80,70,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 70}"
5 x 2 (80p x 90g) M20 8.8/S (TI),5,2,80,90,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 90}"
5 x 2 (80p x 140g) M20 8.8/S (TI),5,2,80,140,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 140}"
5 x 2 (90p x 70g) M20 8.8/S (TI),5,2,90,70,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 70}"
5 x 2 (90p x 90g) M20 8.8/S (TI),5,2,90,90,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 90}"
5 x 2 (90p x 140g) M20 8.8/S (TI),5,2,90,140,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 140}"
5 x 3 (70p x 70g) M20 8.8/S (TI),5,3,70,70,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 70}"
5 x 3 (70p x 90g) M20 8.8/S (TI),5,3,70,90,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 90}"
5 x 3 (70p x 140g) M20 8.8/S (TI),5,3,70,140,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 140}"
5 x 3 (80p x 70g) M20 8.8/S (TI),5,3,80,70,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 70}"
5 x 3 (80p x 90g) M20 8.8/S (TI),5,3,80,90,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 90}"
5 x 3 (80p x 140g) M20 8.8/S (TI),5,3,80,140,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 140}"
5 x 3 (90p x 70g) M20 8.8/S (TI),5,3,90,70,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 70}"
5 x 3 (90p x 90g) M20 8.8/S (TI),5,3,90,90,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 90}"
5 x 3 (90p x 140g) M20 8.8/S (TI),5,3,90,140,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 140}"
5 x 4 (70p x 70g) M20 8.8/S (TI),5,4,70,70,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 70}"
5 x 4 (70p x 90g) M20 8.8/S (TI),5,4,70,90,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 90}"
5 x 4 (70p x 140g) M20 8.8/S (TI),5,4,70,140,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 140}"
5 x 4 (80p x 70g) M20 8.8/S (TI),5,4,80,70,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 70}"
5 x 4 (80p x 90g) M20 8.8/S (TI),5,4,80,90,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 90}"
5 x 4 (80p x 140g) M20 8.8/S (TI),5,4,80,140,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 140}"
5 x 4 (90p x 70g) M20 8.8/S (TI),5,4,90,70,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 70}"
5 x 4 (90p x 90g) M20 8.8/S (TI),5,4,90,90,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 90}"
5 x 4 (90p x 140g) M20 8.8/S (TI),5,4,90,140,M20 8.8/S (TI),"{""n_p"": 5, ""n_g"": 4, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 140}"
6 x 1 (70p x 70g) M20 8.8/S (TI),6,1,70,70,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 70}"
6 x 1 (70p x 90g) M20 8.8/S (TI),6,1,70,90,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 90}"
6 x 1 (70p x 140g) M20 8.8/S (TI),6,1,70,140,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 140}"
6 x 1 (80p x 70g) M20 8.8/S (TI),6,1,80,70,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 70}"
6 x 1 (80p x 90g) M20 8.8/S (TI),6,1,80,90,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 90}"
6 x 1 (80p x 140g) M20 8.8/S (TI),6,1,80,140,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 140}"
6 x 1 (90p x 70g) M20 8.8/S (TI),6,1,90,70,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 70}"
6 x 1 (90p x 90g) M20 8.8/S (TI),6,1,90,90,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 90}"
6 x 1 (90p x 140g) M20 8.8/S (TI),6,1,90,140,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 1, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 140}"
6 x 2 (70p x 70g) M20 8.8/S (TI),6,2,70,70,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 70}"
6 x 2 (70p x 90g) M20 8.8/S (TI),6,2,70,90,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 90}"
6 x 2 (70p x 140g) M20 8.8/S (TI),6,2,70,140,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 140}"
6 x 2 (80p x 70g) M20 8.8/S (TI),6,2,80,70,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 70}"
6 x 2 (80p x 90g) M20 8.8/S (TI),6,2,80,90,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 90}"
6 x 2 (80p x 140g) M20 8.8/S (TI),6,2,80,140,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 140}"
6 x 2 (90p x 70g) M20 8.8/S (TI),6,2,90,70,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 70}"
6 x 2 (90p x 90g) M20 8.8/S (TI),6,2,90,90,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 90}"
6 x 2 (90p x 140g) M20 8.8/S (TI),6,2,90,140,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 2, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 90, ""s_g"": 140}"
6 x 3 (70p x 70g) M20 8.8/S (TI),6,3,70,70,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 70}"
6 x 3 (70p x 90g) M20 8.8/S (TI),6,3,70,90,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 90}"
6 x 3 (70p x 140g) M20 8.8/S (TI),6,3,70,140,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 70, ""s_g"": 140}"
6 x 3 (80p x 70g) M20 8.8/S (TI),6,3,80,70,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 70}"
6 x 3 (80p x 90g) M20 8.8/S (TI),6,3,80,90,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 90}"
6 x 3 (80p x 140g) M20 8.8/S (TI),6,3,80,140,M20 8.8/S (TI),"{""n_p"": 6, ""n_g"": 3, ""bolt"": {""d_f"": 20, ""bolt_cat"": ""8.8/S"", ""threads_included"": true}, ""s_p"": 80, ""s_g"": 140}"
